mechanism,projection,digit_stratum,z_score,verdict
sum_of_divisibility,VocabGini,6,8.873006719983424,+
sum_of_divisibility,ThresholdDensity,6,nan,?
sum_of_divisibility,TemporalConcentration,6,nan,?
sum_of_divisibility,cp_spectrum,6,98.90417303408195,+
sum_of_divisibility,L_profile,6,30.654032655642872,+
sum_of_divisibility,TailMass,6,33.67433285017359,+
sum_of_divisibility,LeadingDigit,7,126.13113632041426,+
sum_of_divisibility,TerminalDigit,7,2.5797247748776972,?
sum_of_divisibility,CentsEntropy,7,0.09397173340414706,0
sum_of_divisibility,DecimalResidue,7,2.8101462538494517,?
sum_of_divisibility,VocabGini,7,205.90351841482016,+
sum_of_divisibility,ThresholdDensity,7,nan,?
sum_of_divisibility,TemporalConcentration,7,nan,?
sum_of_divisibility,cp_spectrum,7,2131.336697379462,+
sum_of_divisibility,L_profile,7,781.9547097568735,+
sum_of_divisibility,TailMass,7,436.29142330799095,+
